id:ID	labels:label	type	flags:string[]	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment	export	tainted
0	Filesystem	Directory									crx_tmp/eopg_generated_files		True	
1	Filesystem	File									crx_tmp/eopg_generated_files/bg.js		True	
2	AST	AST_TOPLEVEL	TOPLEVEL_FILE	4					4::542:3	542	crx_tmp/eopg_generated_files/bg.js		True	
3	Artificial	CFG_FUNC_ENTRY					2				crx_tmp/eopg_generated_files/bg.js		True	
4	Artificial	CFG_FUNC_EXIT					2				crx_tmp/eopg_generated_files/bg.js		True	
5	AST	AST_STMT_LIST		4		0	2		4::542:3	542			True	
6	AST	AST_FUNC_DECL		4	Port	0	2		4::11:1	11		"original file:crx_headers/bg_header.js\n========= port ========="	True	
7	Artificial	CFG_FUNC_ENTRY					6						True	
8	Artificial	CFG_FUNC_EXIT					6						True	
9	AST	string		4	Port	0	6		4:9:4:13	4			True	
10	AST	NULL		4		1	6		4::4:				True	
11	AST	AST_PARAM_LIST		4	info	2	6		4::11:1	11			True	
12	AST	AST_PARAM		4	info	0	6		4::4:				True	
13	AST	NULL		4	any	0	6		4::4:				True	
14	AST	string		4	info	1	6		4:14:4:18	4			True	
15	AST	NULL		4	any	2	6		4::4:				True	
16	AST	AST_STMT_LIST		4		3	6		4:19:11:1	11			True	
17	AST	AST_IF		5		0	6		5:4:7:5	7			True	
18	AST	AST_IF_ELEM		5		0	6		5:4:7:5	7			True	
19	AST	AST_PROP		5	info.includeTlsChannelId	0	6		5:8:5:32	5			True	
20	AST	AST_VAR		5		0	6		5:8:5:12	5			True	
21	AST	string		5	info	0	6		5:8:5:12	5	info		True	
22	AST	string		5	includeTlsChannelId	1	6		5:13:5:32	5			True	
23	AST	AST_STMT_LIST		5		1	6		5:33:7:5	7			True	
24	AST	AST_ASSIGN		6	this.includeTlsChannelId = info.includeTlsChannelId	0	6		6:8:6:59	6			True	
25	AST	AST_PROP		6	this.includeTlsChannelId	0	6		6:8:6:32	6			True	
26	AST	AST_VAR		6		0	6		6:8:6:12	6			True	
27	AST	string		6	this	0	6		6:8:6:12	6	this		True	
28	AST	string		6	includeTlsChannelId	1	6		6:13:6:32	6			True	
29	AST	AST_PROP		6	info.includeTlsChannelId	1	6		6:35:6:59	6			True	
